,align,choice,time,coherence,firing_rate
58,dots,T1,100,25.6,32.28962818
59,dots,T1,100,51.2,35.25390625
60,dots,T1,120,0.0,31.6733067729
61,dots,T1,120,3.2,30.8779761905
62,dots,T1,120,6.4,31.9682151589
63,dots,T1,120,12.8,32.7986405205
64,dots,T1,120,25.6,29.6966731898
65,dots,T1,120,51.2,33.349609375
66,dots,T1,140,0.0,32.1215139442
67,dots,T1,140,3.2,30.0970758473
68,dots,T1,140,6.4,31.173594132
69,dots,T1,140,12.8,31.1927760396
70,dots,T1,140,25.6,29.3052837573
71,dots,T1,140,51.2,31.3593367034
72,dots,T1,160,0.0,34.4621513944
73,dots,T1,160,3.2,33.0191183554
74,dots,T1,160,6.4,33.6797066015
75,dots,T1,160,12.8,31.9922938189
76,dots,T1,160,25.6,33.0684130789
77,dots,T1,160,51.2,31.4144049073
78,dots,T1,180,0.0,37.5857760456
79,dots,T1,180,3.2,39.206226297
80,dots,T1,180,6.4,38.4799298148
81,dots,T1,180,12.8,38.2790725256
82,dots,T1,180,25.6,38.0283572714
83,dots,T1,180,51.2,35.2981969562
84,dots,T1,200,0.0,41.3876308811
85,dots,T1,200,3.2,43.0009045681
86,dots,T1,200,6.4,42.8315775134
87,dots,T1,200,12.8,44.1881669593
88,dots,T1,200,25.6,43.2053130261
89,dots,T1,200,51.2,44.0021276055
90,dots,T1,220,0.0,45.2145741795
91,dots,T1,220,3.2,44.0531572195
92,dots,T1,220,6.4,44.5503067614
93,dots,T1,220,12.8,46.0072153238
94,dots,T1,220,25.6,46.6656178604
95,dots,T1,220,51.2,49.4455590075
96,dots,T1,240,0.0,44.426667193
97,dots,T1,240,3.2,45.5579976408
98,dots,T1,240,6.4,45.3353150482
99,dots,T1,240,12.8,45.2545114631
100,dots,T1,240,25.6,48.057998072
101,dots,T1,240,51.2,52.8138549965
102,dots,T1,260,0.0,43.5176761377
103,dots,T1,260,3.2,46.4806723604
104,dots,T1,260,6.4,45.975678826
105,dots,T1,260,12.8,45.978011874
106,dots,T1,260,25.6,51.49830443
107,dots,T1,260,51.2,56.0062634769
108,dots,T1,280,0.0,45.183845031
109,dots,T1,280,3.2,46.7680543787
110,dots,T1,280,6.4,47.6079465912
111,dots,T1,280,12.8,49.4179484906
112,dots,T1,280,25.6,53.4063507726
113,dots,T1,280,51.2,56.5709270698
114,dots,T1,300,0.0,44.5806310958
115,dots,T1,300,3.2,47.7403311288
116,dots,T1,300,6.4,47.9453145595
117,dots,T1,300,12.8,50.884901111
118,dots,T1,300,25.6,53.9921770122
119,dots,T1,320,0.0,42.1883499648
120,dots,T1,320,3.2,46.1091773662
121,dots,T1,320,6.4,46.9297722083
122,dots,T1,320,12.8,50.5475711692
123,dots,T1,320,25.6,54.2706099715
124,dots,T1,340,0.0,41.7881832087
125,dots,T1,340,3.2,45.6333595786
126,dots,T1,340,6.4,47.6741978356
127,dots,T1,340,12.8,49.8453330566
128,dots,T1,340,25.6,55.4833048133
129,dots,T1,360,0.0,43.8889398626
130,dots,T1,360,3.2,47.8811790178
131,dots,T1,360,6.4,50.4307958419
132,dots,T1,360,12.8,50.5637453923
133,dots,T1,360,25.6,57.6132002761
134,dots,T1,380,0.0,46.7939865745
135,dots,T1,380,3.2,46.0362955566
136,dots,T1,380,6.4,50.2350060629
137,dots,T1,380,12.8,51.839563305
138,dots,T1,380,25.6,57.9308464384
139,dots,T1,400,0.0,45.4823942827
140,dots,T1,400,3.2,45.3563633893
141,dots,T1,400,6.4,48.816525836
142,dots,T1,400,12.8,52.3134685064
143,dots,T1,400,25.6,58.2719153733
144,dots,T1,420,0.0,45.2294029647
145,dots,T1,420,3.2,47.370806321
146,dots,T1,420,6.4,51.0426760675
147,dots,T1,420,12.8,54.3442280151
148,dots,T1,420,25.6,58.7792250482
149,dots,T1,440,0.0,47.5705138296
150,dots,T1,440,3.2,47.8962913334
151,dots,T1,440,6.4,52.8451380575
152,dots,T1,440,12.8,56.5905120229
153,dots,T1,460,0.0,47.9965125796
154,dots,T1,460,3.2,49.7589895528
155,dots,T1,460,6.4,54.6071568221
156,dots,T1,460,12.8,57.6417931949
157,dots,T1,480,0.0,47.4221784572
158,dots,T1,480,3.2,50.2088029789
159,dots,T1,480,6.4,56.3631120383
160,dots,T1,480,12.8,57.336239303
161,dots,T1,500,0.0,48.4253715445
162,dots,T1,500,3.2,49.8924509929
163,dots,T1,500,6.4,56.3159583107
164,dots,T1,500,12.8,57.8834341936
165,dots,T1,520,0.0,49.8483600507
166,dots,T1,520,3.2,49.395357585
167,dots,T1,520,6.4,55.6257450533
168,dots,T1,520,12.8,56.7031475447
169,dots,T1,540,0.0,51.4958439254
170,dots,T1,540,3.2,48.066627973
171,dots,T1,540,6.4,52.6625406001
172,dots,T1,540,12.8,56.5965566665
173,dots,T1,560,0.0,53.8839724539
174,dots,T1,560,3.2,48.6514774419
175,dots,T1,560,6.4,51.2677935943
176,dots,T1,560,12.8,57.4458518599
177,dots,T1,580,0.0,53.0430826028
178,dots,T1,580,3.2,50.928916973
179,dots,T1,580,6.4,55.3879064133
180,dots,T1,600,0.0,52.1063146794
181,dots,T1,600,3.2,50.4609948656
182,dots,T1,600,6.4,58.3763412771
183,dots,T1,620,0.0,51.9722589882
184,dots,T1,620,3.2,49.6072463942
185,dots,T1,620,6.4,58.4313296726
186,dots,T1,640,0.0,51.4946850007
187,dots,T1,640,3.2,53.7183234006
188,dots,T1,660,0.0,51.3666266822
189,dots,T1,660,3.2,56.9613202683
190,dots,T1,680,0.0,52.6740476122
191,dots,T1,680,3.2,57.0799478842
192,dots,T1,700,0.0,52.6806817764
193,dots,T1,720,0.0,51.299586053
194,dots,T2,-80,0.0,34.9701072622
195,dots,T2,-80,3.2,36.7858148044
196,dots,T2,-80,6.4,34.4785059901
197,dots,T2,-80,12.8,34.9914236707
198,dots,T2,-80,25.6,32.2415329768
199,dots,T2,-80,51.2,32.6330162086
200,dots,T2,-60,0.0,33.8491295938
201,dots,T2,-60,3.2,35.6811145511
202,dots,T2,-60,6.4,35.5943152455
203,dots,T2,-60,12.8,33.2285115304
204,dots,T2,-60,25.6,34.0196078431
205,dots,T2,-60,51.2,33.8662790698
206,dots,T2,-40,0.0,35.2030947776
207,dots,T2,-40,3.2,35.5263157895
208,dots,T2,-40,6.4,35.0129198966
209,dots,T2,-40,12.8,34.9056603774
210,dots,T2,-40,25.6,34.7058823529
211,dots,T2,-40,51.2,33.0910852713
212,dots,T2,-20,0.0,35.1063829787
213,dots,T2,-20,3.2,34.9845201238
214,dots,T2,-20,6.4,36.3695090439
215,dots,T2,-20,12.8,36.320754717
216,dots,T2,-20,25.6,34.8529411765
217,dots,T2,-20,51.2,35.3197674419
218,dots,T2,0,0.0,34.1392649903
219,dots,T2,0,3.2,36.1455108359
220,dots,T2,0,6.4,37.8552971576
221,dots,T2,0,12.8,36.0062893082
222,dots,T2,0,25.6,34.4117647059
223,dots,T2,0,51.2,35.6104651163
224,dots,T2,20,0.0,35.9767891683
225,dots,T2,20,3.2,38.3900928793
226,dots,T2,20,6.4,36.9509043928
227,dots,T2,20,12.8,36.8972746331
228,dots,T2,20,25.6,34.362745098
229,dots,T2,20,51.2,33.8178294574
230,dots,T2,40,0.0,36.3636363636
231,dots,T2,40,3.2,40.4024767802
232,dots,T2,40,6.4,35.9819121447
233,dots,T2,40,12.8,37.8406708595
234,dots,T2,40,25.6,35.9803921569
235,dots,T2,40,51.2,36.1918604651
236,dots,T2,60,0.0,34.7195357834
237,dots,T2,60,3.2,37.4613003096
238,dots,T2,60,6.4,35.4005167959
239,dots,T2,60,12.8,37.0545073375
240,dots,T2,60,25.6,35.8823529412
241,dots,T2,60,51.2,37.8391472868
242,dots,T2,80,0.0,35.3965183752
243,dots,T2,80,3.2,34.0557275542
244,dots,T2,80,6.4,33.5917312661
245,dots,T2,80,12.8,36.0062893082
246,dots,T2,80,25.6,35.3431372549
247,dots,T2,80,51.2,35.6589147287
248,dots,T2,100,0.0,31.8665377176
249,dots,T2,100,3.2,33.2817337461
250,dots,T2,100,6.4,31.3953488372
251,dots,T2,100,12.8,33.3333333333
252,dots,T2,100,25.6,33.6764705882
253,dots,T2,100,51.2,32.6550387597
254,dots,T2,120,0.0,29.6905222437
255,dots,T2,120,3.2,32.1207430341
256,dots,T2,120,6.4,30.9492892804
257,dots,T2,120,12.8,30.5063756889
258,dots,T2,120,25.6,31.2745098039
259,dots,T2,120,51.2,30.6686046512
260,dots,T2,140,0.0,31.5280464217
261,dots,T2,140,3.2,30.572755418
262,dots,T2,140,6.4,32.4888754083
263,dots,T2,140,12.8,30.6956495116
264,dots,T2,140,25.6,31.3725490196
265,dots,T2,140,51.2,31.4084685455
266,dots,T2,160,0.0,33.4622823985
267,dots,T2,160,3.2,31.9399161621
268,dots,T2,160,6.4,34.1883327301
269,dots,T2,160,12.8,33.4109778842
270,dots,T2,160,25.6,33.0303469437
271,dots,T2,160,51.2,33.4367357364
272,dots,T2,180,0.0,38.2070547501
273,dots,T2,180,3.2,37.8712163752
274,dots,T2,180,6.4,38.5042012826
275,dots,T2,180,12.8,38.4719004777
276,dots,T2,180,25.6,37.0775301438
277,dots,T2,180,51.2,38.2633844689
278,dots,T2,200,0.0,42.7578085722
279,dots,T2,200,3.2,42.2897196262
280,dots,T2,200,6.4,42.9949986829
281,dots,T2,200,12.8,41.5088392695
282,dots,T2,200,25.6,41.8176444453
283,dots,T2,200,51.2,43.1074684774
284,dots,T2,220,0.0,44.5909389003
285,dots,T2,220,3.2,45.3417177461
286,dots,T2,220,6.4,45.4000593486
287,dots,T2,220,12.8,41.8565530425
288,dots,T2,220,25.6,42.4234549444
289,dots,T2,220,51.2,40.6228763776
290,dots,T2,240,0.0,43.3291259446
291,dots,T2,240,3.2,45.5698126733
292,dots,T2,240,6.4,46.0860105176
293,dots,T2,240,12.8,41.9135577374
294,dots,T2,240,25.6,39.0738361103
295,dots,T2,240,51.2,37.4852335411
296,dots,T2,260,0.0,43.3132225106
297,dots,T2,260,3.2,43.3325723491
298,dots,T2,260,6.4,43.3791616022
299,dots,T2,260,12.8,41.9109630979
300,dots,T2,260,25.6,37.912397605
301,dots,T2,260,51.2,36.7127196352
302,dots,T2,280,0.0,44.0351005894
303,dots,T2,280,3.2,40.7781018409
304,dots,T2,280,6.4,42.3074505091
305,dots,T2,280,12.8,38.8754812498
306,dots,T2,280,25.6,38.1344925275
307,dots,T2,280,51.2,35.9808003647
308,dots,T2,300,0.0,42.9985009362
309,dots,T2,300,3.2,40.6293355403
310,dots,T2,300,6.4,42.5742920171
311,dots,T2,300,12.8,37.7958539325
312,dots,T2,300,25.6,36.2919354435
313,dots,T2,300,51.2,34.1760123767
314,dots,T2,320,0.0,39.8459992058
315,dots,T2,320,3.2,38.6301686727
316,dots,T2,320,6.4,41.2207626677
317,dots,T2,320,12.8,35.5155038833
318,dots,T2,320,25.6,33.6229546792
319,dots,T2,320,51.2,33.7686320342
320,dots,T2,340,0.0,38.294630264
321,dots,T2,340,3.2,39.2359539907
322,dots,T2,340,6.4,41.5255817987
323,dots,T2,340,12.8,34.3093086994
324,dots,T2,340,25.6,31.1869789361
325,dots,T2,360,0.0,38.7832089442
326,dots,T2,360,3.2,40.5201660452
327,dots,T2,360,6.4,40.2438173059
328,dots,T2,360,12.8,37.3473010589
329,dots,T2,360,25.6,30.9096204221
330,dots,T2,380,0.0,37.7037571598
331,dots,T2,380,3.2,37.8557504873
332,dots,T2,380,6.4,38.1466711944
333,dots,T2,380,12.8,36.4564971115
334,dots,T2,380,25.6,30.4264563351
335,dots,T2,400,0.0,39.742881112
336,dots,T2,400,3.2,37.7696727599
337,dots,T2,400,6.4,37.282919343
338,dots,T2,400,12.8,36.5347678542
339,dots,T2,400,25.6,27.8518122463
340,dots,T2,420,0.0,41.3684007973
341,dots,T2,420,3.2,38.8926908711
342,dots,T2,420,6.4,36.7202937136
343,dots,T2,420,12.8,35.1082370207
344,dots,T2,420,25.6,27.861418733
345,dots,T2,440,0.0,40.6496445189
346,dots,T2,440,3.2,39.9098650911
347,dots,T2,440,6.4,38.0156523023
348,dots,T2,440,12.8,35.2694954062
349,dots,T2,440,25.6,29.81667219
350,dots,T2,460,0.0,42.7507271759
351,dots,T2,460,3.2,39.6852155867
352,dots,T2,460,6.4,38.520175851
353,dots,T2,460,12.8,36.5036817188
354,dots,T2,480,0.0,41.6795939186
355,dots,T2,480,3.2,38.2746541855
356,dots,T2,480,6.4,38.0980698037
357,dots,T2,480,12.8,34.0660031252
358,dots,T2,500,0.0,38.0762367984
359,dots,T2,500,3.2,38.7038940633
360,dots,T2,500,6.4,39.399412391
361,dots,T2,500,12.8,36.6778056607
362,dots,T2,520,0.0,40.3020387251
363,dots,T2,520,3.2,38.768191293
364,dots,T2,520,6.4,37.1402778543
365,dots,T2,520,12.8,36.8786473739
366,dots,T2,540,0.0,41.3666539656
367,dots,T2,540,3.2,37.1782371295
368,dots,T2,540,6.4,35.8263885332
369,dots,T2,540,12.8,33.7657325009
370,dots,T2,560,0.0,42.1411371631
371,dots,T2,560,3.2,39.4878074198
372,dots,T2,560,6.4,36.8214417656
373,dots,T2,560,12.8,33.73267699
374,dots,T2,580,0.0,40.6285403536
375,dots,T2,580,3.2,41.2384548086
376,dots,T2,580,6.4,36.1422793814
377,dots,T2,600,0.0,38.626129285
378,dots,T2,600,3.2,38.9859711621
379,dots,T2,600,6.4,36.4593012697
380,dots,T2,620,0.0,41.6313731495
381,dots,T2,620,3.2,40.9941162703
382,dots,T2,620,6.4,35.3408471901
383,dots,T2,640,0.0,41.3093764734
384,dots,T2,640,3.2,42.9420765936
385,dots,T2,640,6.4,37.8523264371
386,dots,T2,660,0.0,40.65999957
387,dots,T2,660,3.2,39.3419135381
388,dots,T2,680,0.0,42.454915858
389,dots,T2,680,3.2,37.8062672369
390,dots,T2,700,0.0,43.4649588514
391,dots,T2,700,3.2,38.994559118
392,dots,T2,720,0.0,41.9871213179
393,dots,T2,720,3.2,41.7160565573
394,sacc,T1,-600,0.0,45.2325120377
395,sacc,T1,-580,0.0,45.4264028997
396,sacc,T1,-560,0.0,43.0716466126
397,sacc,T1,-560,3.2,44.6334707376
398,sacc,T1,-540,0.0,45.4794313401
399,sacc,T1,-540,3.2,44.2150705016
400,sacc,T1,-520,0.0,45.506553529
401,sacc,T1,-520,3.2,45.6483325386
402,sacc,T1,-500,0.0,45.4151502861
403,sacc,T1,-500,3.2,45.9241043648
404,sacc,T1,-500,6.4,50.0619965618
405,sacc,T1,-480,0.0,48.160760903
406,sacc,T1,-480,3.2,45.7282215546
407,sacc,T1,-480,6.4,49.6277218935
408,sacc,T1,-460,0.0,46.3937943881
409,sacc,T1,-460,3.2,47.06353638
410,sacc,T1,-460,6.4,51.0213340154
411,sacc,T1,-440,0.0,43.5141711801
412,sacc,T1,-440,3.2,47.6131067824
413,sacc,T1,-440,6.4,48.7946689049
414,sacc,T1,-440,12.8,49.603478703
415,sacc,T1,-420,0.0,45.6403332059
416,sacc,T1,-420,3.2,48.9830083705
417,sacc,T1,-420,6.4,51.0323809137
418,sacc,T1,-420,12.8,51.9676391845
419,sacc,T1,-400,0.0,48.8318863322
420,sacc,T1,-400,3.2,47.171291067
421,sacc,T1,-400,6.4,52.5509987955
422,sacc,T1,-400,12.8,51.7947628697
423,sacc,T1,-380,0.0,50.8980590583
424,sacc,T1,-380,3.2,48.9092059523
425,sacc,T1,-380,6.4,48.8474113348
426,sacc,T1,-380,12.8,52.0292508296
427,sacc,T1,-360,0.0,51.2067586014
428,sacc,T1,-360,3.2,50.2840383861
429,sacc,T1,-360,6.4,50.145345275
430,sacc,T1,-360,12.8,53.2630051358
431,sacc,T1,-340,0.0,50.2800233932
432,sacc,T1,-340,3.2,50.0120454694
433,sacc,T1,-340,6.4,52.2716382085
434,sacc,T1,-340,12.8,53.0778335811
435,sacc,T1,-320,0.0,49.4086709956
436,sacc,T1,-320,3.2,51.7156662265
437,sacc,T1,-320,6.4,53.0425605954
438,sacc,T1,-320,12.8,53.4673586898
439,sacc,T1,-300,0.0,49.1203942708
440,sacc,T1,-300,3.2,49.418248136
441,sacc,T1,-300,6.4,54.0102823529
442,sacc,T1,-300,12.8,54.6096601316
443,sacc,T1,-300,25.6,54.1875464625
444,sacc,T1,-280,0.0,51.6971579109
445,sacc,T1,-280,3.2,51.0207341541
446,sacc,T1,-280,6.4,55.7411082083
447,sacc,T1,-280,12.8,53.2776573023
448,sacc,T1,-280,25.6,54.5064306881
449,sacc,T1,-260,0.0,52.6379444601
450,sacc,T1,-260,3.2,52.6249011151
451,sacc,T1,-260,6.4,56.567696028
452,sacc,T1,-260,12.8,53.945858687
453,sacc,T1,-260,25.6,55.0692362824
454,sacc,T1,-240,0.0,51.2549672581
455,sacc,T1,-240,3.2,52.5865121943
456,sacc,T1,-240,6.4,53.8916036035
457,sacc,T1,-240,12.8,55.8665513894
458,sacc,T1,-240,25.6,54.0660056789
459,sacc,T1,-220,0.0,50.5983703221
460,sacc,T1,-220,3.2,51.4625155232
461,sacc,T1,-220,6.4,54.3207205125
462,sacc,T1,-220,12.8,55.9107111914
463,sacc,T1,-220,25.6,53.4235227174
464,sacc,T1,-200,0.0,54.0969887257
465,sacc,T1,-200,3.2,52.8902388815
466,sacc,T1,-200,6.4,57.2658855352
467,sacc,T1,-200,12.8,55.8513473336
468,sacc,T1,-200,25.6,54.30218802
469,sacc,T1,-180,0.0,56.0836482647
470,sacc,T1,-180,3.2,54.6633426001
471,sacc,T1,-180,6.4,56.5684880076
472,sacc,T1,-180,12.8,57.0138948985
473,sacc,T1,-180,25.6,56.7413467363
474,sacc,T1,-160,0.0,55.3505702695
475,sacc,T1,-160,3.2,53.8272331128
476,sacc,T1,-160,6.4,56.7240292283
477,sacc,T1,-160,12.8,58.1193158789
478,sacc,T1,-160,25.6,58.6021829868
479,sacc,T1,-160,51.2,54.8967997613
480,sacc,T1,-140,0.0,57.1593256173
481,sacc,T1,-140,3.2,56.5769900664
482,sacc,T1,-140,6.4,56.7545502426
483,sacc,T1,-140,12.8,59.1831621625
484,sacc,T1,-140,25.6,58.7923267235
485,sacc,T1,-140,51.2,57.8214569751
486,sacc,T1,-120,0.0,58.53308329
487,sacc,T1,-120,3.2,59.1191539695
488,sacc,T1,-120,6.4,58.9815430655
489,sacc,T1,-120,12.8,61.3557810869
490,sacc,T1,-120,25.6,59.4419114489
491,sacc,T1,-120,51.2,59.6895693369
492,sacc,T1,-100,0.0,59.4948613645
493,sacc,T1,-100,3.2,62.7954637729
494,sacc,T1,-100,6.4,62.4863240028
495,sacc,T1,-100,12.8,62.6925464066
496,sacc,T1,-100,25.6,59.4754759182
497,sacc,T1,-100,51.2,59.1229508662
498,sacc,T1,-80,0.0,62.1398334413
499,sacc,T1,-80,3.2,63.6967779056
500,sacc,T1,-80,6.4,63.6803949111
501,sacc,T1,-80,12.8,63.7975062565
502,sacc,T1,-80,25.6,60.746123495
503,sacc,T1,-80,51.2,61.6545577621
504,sacc,T1,-60,0.0,63.9918381337
505,sacc,T1,-60,3.2,64.0885489132
506,sacc,T1,-60,6.4,65.9275648059
507,sacc,T1,-60,12.8,64.4531213517
508,sacc,T1,-60,25.6,65.0785915901
509,sacc,T1,-60,51.2,62.7558667307
510,sacc,T1,-40,0.0,65.9860557769
511,sacc,T1,-40,3.2,66.4632254083
512,sacc,T1,-40,6.4,67.7872860636
513,sacc,T1,-40,12.8,67.6494487948
514,sacc,T1,-40,25.6,67.4806695911
515,sacc,T1,-40,51.2,66.6127927521
516,sacc,T1,-20,0.0,68.3764940239
517,sacc,T1,-20,3.2,66.8195604614
518,sacc,T1,-20,6.4,68.2762836186
519,sacc,T1,-20,12.8,69.8335976272
520,sacc,T1,-20,25.6,69.2759295499
521,sacc,T1,-20,51.2,69.2525512899
522,sacc,T1,0,0.0,67.6792828685
523,sacc,T1,0,3.2,66.443452381
524,sacc,T1,0,6.4,70.0488997555
525,sacc,T1,0,12.8,68.1668870183
526,sacc,T1,0,25.6,69.5694716243
527,sacc,T1,0,51.2,67.87109375
528,sacc,T1,20,0.0,63.8446215139
529,sacc,T1,20,3.2,65.0297619048
530,sacc,T1,20,6.4,66.9926650367
531,sacc,T1,20,12.8,62.6236601367
532,sacc,T1,20,25.6,66.2426614481
533,sacc,T1,20,51.2,66.455078125
534,sacc,T1,40,0.0,60.3585657371
535,sacc,T1,40,3.2,60.193452381
536,sacc,T1,40,6.4,58.5574572127
537,sacc,T1,40,12.8,59.0020576132
538,sacc,T1,40,25.6,62.084148728
539,sacc,T1,40,51.2,62.939453125
540,sacc,T1,60,0.0,53.2370517928
541,sacc,T1,60,3.2,51.2648809524
542,sacc,T1,60,6.4,51.95599022
543,sacc,T1,60,12.8,52.3148148148
544,sacc,T1,60,25.6,52.8375733855
545,sacc,T1,60,51.2,53.61328125
546,sacc,T1,80,0.0,44.3725099602
547,sacc,T1,80,3.2,43.75
548,sacc,T1,80,6.4,45.2322738386
549,sacc,T1,80,12.8,42.0781893004
550,sacc,T1,80,25.6,44.373776908
551,sacc,T1,80,51.2,44.677734375
552,sacc,T1,100,0.0,37.5996015936
553,sacc,T1,100,3.2,38.244047619
554,sacc,T1,100,6.4,37.1638141809
555,sacc,T1,100,12.8,36.1111111111
556,sacc,T1,100,25.6,37.915851272
557,sacc,T1,100,51.2,37.744140625
558,sacc,T1,120,0.0,30.8266932271
559,sacc,T1,120,3.2,29.9851190476
560,sacc,T1,120,6.4,30.8679706601
561,sacc,T1,120,12.8,29.6296296296
562,sacc,T1,120,25.6,29.6966731898
563,sacc,T1,120,51.2,31.494140625
564,sacc,T1,140,0.0,25.8964143426
565,sacc,T1,140,3.2,23.2142857143
566,sacc,T1,140,6.4,24.3887530562
567,sacc,T1,140,12.8,24.6399176955
568,sacc,T1,140,25.6,23.5812133072
569,sacc,T1,140,51.2,25.87890625
570,sacc,T1,160,0.0,20.3685258964
571,sacc,T1,160,3.2,20.3125
572,sacc,T1,160,6.4,19.3765281174
573,sacc,T1,160,12.8,19.5473251029
574,sacc,T1,160,25.6,18.6888454012
575,sacc,T1,160,51.2,21.044921875
576,sacc,T1,180,0.0,14.4422310757
577,sacc,T1,180,3.2,16.0714285714
578,sacc,T1,180,6.4,16.564792176
579,sacc,T1,180,12.8,14.866255144
580,sacc,T1,180,25.6,14.481409002
581,sacc,T1,180,51.2,16.89453125
582,sacc,T1,200,0.0,10.4581673307
583,sacc,T1,200,3.2,12.7838338423
584,sacc,T1,200,6.4,13.141809291
585,sacc,T1,200,12.8,12.4485596708
586,sacc,T1,200,25.6,11.1056751468
587,sacc,T1,200,51.2,13.330078125
588,sacc,T1,220,0.0,8.71513944223
589,sacc,T1,220,3.2,10.6859286565
590,sacc,T1,220,6.4,9.35207823961
591,sacc,T1,220,12.8,10.0823045267
592,sacc,T1,220,25.6,10.3718199609
593,sacc,T1,220,51.2,11.474609375
594,sacc,T1,240,0.0,8.86454183267
595,sacc,T1,240,3.2,8.30860534125
596,sacc,T1,240,6.4,7.45721271394
597,sacc,T1,240,12.8,8.48765432099
598,sacc,T1,240,25.6,9.93150684932
599,sacc,T1,240,51.2,9.47265625
600,sacc,T1,260,0.0,7.76892430279
601,sacc,T1,260,3.2,6.89910979228
602,sacc,T1,260,6.4,7.39608801956
603,sacc,T1,260,12.8,7.61316872428
604,sacc,T1,260,25.6,8.12133072407
605,sacc,T1,260,51.2,8.251953125
606,sacc,T1,280,0.0,6.47410358566
607,sacc,T1,280,3.2,7.34421364985
608,sacc,T1,280,6.4,7.21271393643
609,sacc,T1,280,12.8,6.27572016461
610,sacc,T1,280,25.6,7.48532289628
611,sacc,T1,280,51.2,8.056640625
612,sacc,T1,300,0.0,6.57370517928
613,sacc,T1,300,3.2,6.6765578635
614,sacc,T1,300,6.4,7.0293398533
615,sacc,T1,300,12.8,6.37860082305
616,sacc,T1,300,25.6,6.60469667319
617,sacc,T1,300,51.2,7.666015625
618,sacc,T2,-600,0.0,44.2103307115
619,sacc,T2,-600,3.2,43.0738351627
620,sacc,T2,-580,0.0,42.0951655159
621,sacc,T2,-580,3.2,43.0756767503
622,sacc,T2,-560,0.0,42.1253513485
623,sacc,T2,-560,3.2,45.285452736
624,sacc,T2,-540,0.0,44.1789711798
625,sacc,T2,-540,3.2,44.4708434932
626,sacc,T2,-520,0.0,43.3521961356
627,sacc,T2,-520,3.2,41.5618016122
628,sacc,T2,-520,6.4,44.2199954188
629,sacc,T2,-500,0.0,43.1815199497
630,sacc,T2,-500,3.2,42.8556154206
631,sacc,T2,-500,6.4,42.4625739991
632,sacc,T2,-480,0.0,40.9459448349
633,sacc,T2,-480,3.2,41.8233212614
634,sacc,T2,-480,6.4,45.1344918679
635,sacc,T2,-460,0.0,40.0093039819
636,sacc,T2,-460,3.2,40.537176289
637,sacc,T2,-460,6.4,42.6259401288
638,sacc,T2,-440,0.0,43.0018202785
639,sacc,T2,-440,3.2,39.4091538793
640,sacc,T2,-440,6.4,40.2619258987
641,sacc,T2,-440,12.8,41.1419903616
642,sacc,T2,-420,0.0,42.3766444199
643,sacc,T2,-420,3.2,39.5781225037
644,sacc,T2,-420,6.4,41.5610024235
645,sacc,T2,-420,12.8,40.409673204
646,sacc,T2,-400,0.0,40.6714853979
